17/11/2016;159
18/11/2016;148
19/11/2016;103
20/11/2016;148
21/11/2016;217
22/11/2016;122
23/11/2016;303
24/11/2016;162
25/11/2016;145
26/11/2016;152
27/11/2016;157
28/11/2016;132
29/11/2016;126
30/11/2016;190
01/12/2016;180
02/12/2016;180
03/12/2016;146
04/12/2016;137
05/12/2016;121
06/12/2016;463
07/12/2016;199
08/12/2016;203
09/12/2016;199
10/12/2016;164
11/12/2016;152
12/12/2016;168
13/12/2016;132
14/12/2016;213
15/12/2016;192
16/12/2016;183
17/12/2016;112
18/12/2016;97
19/12/2016;157
20/12/2016;193
21/12/2016;154
22/12/2016;209
23/12/2016;148
24/12/2016;144
25/12/2016;203
26/12/2016;121
27/12/2016;144
28/12/2016;179
29/12/2016;127
30/12/2016;163
31/12/2016;179
01/01/2017;127
02/01/2017;127
03/01/2017;118
04/01/2017;171
05/01/2017;149
06/01/2017;49
07/01/2017;122
08/01/2017;192
09/01/2017;136
10/01/2017;141
11/01/2017;110
12/01/2017;185
13/01/2017;220
14/01/2017;148
15/01/2017;151
16/01/2017;144
17/01/2017;141
18/01/2017;104
19/01/2017;138
20/01/2017;146
21/01/2017;121
22/01/2017;115
23/01/2017;146
24/01/2017;188
25/01/2017;157
26/01/2017;187
27/01/2017;188
28/01/2017;165
29/01/2017;155
30/01/2017;214
31/01/2017;177
01/02/2017;175
02/02/2017;186
03/02/2017;205
04/02/2017;132
05/02/2017;137
06/02/2017;178
07/02/2017;431
08/02/2017;188
09/02/2017;160
10/02/2017;180
11/02/2017;152
12/02/2017;159
13/02/2017;163
14/02/2017;181
15/02/2017;212
16/02/2017;188
17/02/2017;229
18/02/2017;173
19/02/2017;254
20/02/2017;180
21/02/2017;218
22/02/2017;175
23/02/2017;141
24/02/2017;188
25/02/2017;174
26/02/2017;191
27/02/2017;195
28/02/2017;157
01/03/2017;243
02/03/2017;193
03/03/2017;243
04/03/2017;136
05/03/2017;153
06/03/2017;222
07/03/2017;256
08/03/2017;304
09/03/2017;190
10/03/2017;157
11/03/2017;144
12/03/2017;182
13/03/2017;215
14/03/2017;369
15/03/2017;238
16/03/2017;150
17/03/2017;909
18/03/2017;849
19/03/2017;805
20/03/2017;860
21/03/2017;819
22/03/2017;876
23/03/2017;886
24/03/2017;818
25/03/2017;848
26/03/2017;699
27/03/2017;780
28/03/2017;727
29/03/2017;834
30/03/2017;603
31/03/2017;477
01/04/2017;801
02/04/2017;807
03/04/2017;228
04/04/2017;187
05/04/2017;164
06/04/2017;271
07/04/2017;402
08/04/2017;171
09/04/2017;236
10/04/2017;274
11/04/2017;188
12/04/2017;184
13/04/2017;151
14/04/2017;161
15/04/2017;160
16/04/2017;282
17/04/2017;380
18/04/2017;209
19/04/2017;137
20/04/2017;192
21/04/2017;123
22/04/2017;175
23/04/2017;138
24/04/2017;177
25/04/2017;151
26/04/2017;355
27/04/2017;236
28/04/2017;167
29/04/2017;163
30/04/2017;165
01/05/2017;126
02/05/2017;236
03/05/2017;178
04/05/2017;231
05/05/2017;197
06/05/2017;169
07/05/2017;193
08/05/2017;190
